First Name,Last Name,Position,Team,Overall,Player Image,Team Logo,SPD,ACC,STR,AGI,AWR
Puka,Nacua,Wide Receiver,Los Angeles Rams,97,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/4785.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/wS8JnLBEBj9eq68rO1qTb/b7b5285ad842936bc21bb149eb8c31b8/24.png,93,92,69,89,98
Trent,Williams,Left Tackle,San Francisco 49ers,97,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/3231.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1SoIzWJtk28ygwNAPEMRnf/deaee9a60ace23f7eaeaf4275c2282b0/15.png,77,74,95,71,98
Trey,McBride,Tight End,Arizona Cardinals,97,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1830.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5NdzvrqrP3clJDBL6kdTmu/1f61914ff14c6f4be0240d71e622f9c6/7.png,87,90,76,84,98
Amon-Ra,St. Brown,Wide Receiver,Detroit Lions,96,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1313.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/7cuE4tZcli1uQyZbvXWMrd/a2df9decdab28170691ca6631dd62139/19.png,90,91,67,92,97
Christian,McCaffrey,Halfback,San Francisco 49ers,96,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8655.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1SoIzWJtk28ygwNAPEMRnf/deaee9a60ace23f7eaeaf4275c2282b0/15.png,90,93,74,94,99
Derrick,Brown,Defensive Tackle,Carolina Panthers,96,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/189.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4Klf6KKhbnVi5RaARK1OiL/13a917c75c0fbc4edb0eb018cb757d8d/21.png,73,76,98,70,97
Garett,Bolles,Left Tackle,Denver Broncos,96,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8482.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4AYKY9OcX1CYbyMFBnvM8/ac07a8ff525004f92014e3259708acdf/4.png,75,76,87,72,97
Joe,Burrow,Quarterback,Cincinnati Bengals,96,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/198.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5oemvWKqCFgBCkCI4h9A2U/0629c6d345fe01a14ba9f40554fd182e/2.png,84,86,68,83,98
Joe,Thuney,Left Guard,Chicago Bears,96,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8235.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/6jaEsYrn1V45DziwibpsDk/ed66ad67e63f08a3a7c25ce951dbf5b9/1.png,73,76,90,68,99
Jonathan,Taylor,Halfback,Indianapolis Colts,96,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/604.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5yTvAS7xG5Z8qw65gMLzSU/037cfcd90e26ee06666a24d762791f65/10.png,94,94,82,86,96
Bijan,Robinson,Halfback,Atlanta Falcons,95,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2613.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3NTxf2X9VWdF6aL91pHAVu/6002a1f3e761a58c3b00f0e08bdccf5f/14.png,91,92,81,92,90
Cameron,Heyward,Defensive Tackle,Pittsburgh Steelers,95,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/4384.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4k4tkEjxICBzmTan96wMKZ/1d5d9145ace8a359ac5423c8c3e5e2d8/29.png,75,73,94,67,96
Creed,Humphrey,Center,Kansas City Chiefs,95,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/729.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3g9AewmTPjE4A7yc2tobiZ/20b6502896df3893414233cb5fe1b803/9.png,74,79,90,67,96
Jaxon,Smith-Njigba,Wide Receiver,Seattle Seahawks,95,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2401.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/2WrGCB8Atuo0aZ4MbstBrI/bbe9263ce111287adcef479efbc72160/28.png,91,92,63,95,96
Jeffery,Simmons,Defensive Tackle,Tennessee Titans,95,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/156.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/2YxvlDMaJsJwNQ4lS7qdCQ/d850f60dcbdcd71fb162eb55a46c7969/30.png,78,82,97,75,96
Nick,Bosa,Left Edge,San Francisco 49ers,95,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9390.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1SoIzWJtk28ygwNAPEMRnf/deaee9a60ace23f7eaeaf4275c2282b0/15.png,80,91,94,87,95
Quinn,Meinerz,Right Guard,Denver Broncos,95,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/841.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4AYKY9OcX1CYbyMFBnvM8/ac07a8ff525004f92014e3259708acdf/4.png,76,79,95,66,96
Tristan,Wirfs,Left Tackle,Tampa Bay Buccaneers,95,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/681.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1L5Fn21WqZN9jcLucGYg4c/ce29db9b9b4775d4e8fc337bf5c65027/6.png,77,78,94,65,96
Chris,Jones,Defensive Tackle,Kansas City Chiefs,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8082.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3g9AewmTPjE4A7yc2tobiZ/20b6502896df3893414233cb5fe1b803/9.png,73,79,96,74,97
Derrick,Henry,Halfback,Baltimore Ravens,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8045.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3zZnTQ4izXUrnVi3ryTBcm/a12a28ccd2af4c0a0930b58db73552a7/25.png,93,87,87,83,95
Drake,Maye,Quarterback,New England Patriots,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10165.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/6Z0rWjQfkWgvj8K58X0WfA/aaaaa7e6c313bdfc5e624309ba6dfc4e/22.png,89,89,62,82,96
Jalen,Ramsey,Free Safety,Pittsburgh Steelers,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8185.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4k4tkEjxICBzmTan96wMKZ/1d5d9145ace8a359ac5423c8c3e5e2d8/29.png,94,93,71,90,92
Jessie,Bates III,Free Safety,Atlanta Falcons,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8815.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3NTxf2X9VWdF6aL91pHAVu/6002a1f3e761a58c3b00f0e08bdccf5f/14.png,90,91,59,88,96
Justin,Jefferson,Wide Receiver,Minnesota Vikings,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/385.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/bzuWJaOZo5LCC4SwdbVzx/f6dc0006f59641745e50721d0d8c9d38/31.png,91,92,64,95,89
Laremy,Tunsil,Left Tackle,Washington Commanders,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8241.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/42h6FyIuthDAiH4cTWUXRH/bb952a9252013b5bfdf77ac3f4011601/RatingsteamcrestWashingtonCommanders256.png,72,68,92,67,95
Quenton,Nelson,Left Guard,Indianapolis Colts,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9002.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5yTvAS7xG5Z8qw65gMLzSU/037cfcd90e26ee06666a24d762791f65/10.png,70,67,97,67,98
T.J.,Watt,Left Edge,Pittsburgh Steelers,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8770.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4k4tkEjxICBzmTan96wMKZ/1d5d9145ace8a359ac5423c8c3e5e2d8/29.png,83,87,86,84,98
Trent,McDuffie,Cornerback,Kansas City Chiefs,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1844.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3g9AewmTPjE4A7yc2tobiZ/20b6502896df3893414233cb5fe1b803/9.png,92,94,61,94,95
Vita,Vea,Defensive Tackle,Tampa Bay Buccaneers,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9093.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1L5Fn21WqZN9jcLucGYg4c/ce29db9b9b4775d4e8fc337bf5c65027/6.png,74,73,99,71,92
Will,Anderson Jr,Left Edge,Houston Texans,94,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/856.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4rWKgLRDGADEZ3pTbdrpW0/793a695de8ea5caf8f2e1b3973ae1b61/32.png,87,90,90,86,97
Aidan,Hutchinson,Left Edge,Detroit Lions,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1771.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/7cuE4tZcli1uQyZbvXWMrd/a2df9decdab28170691ca6631dd62139/19.png,82,89,87,85,95
Andrew,Thomas,Left Tackle,NY Giants,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/611.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5hloGwLNaCrg2IBn0CoWVb/b5996a802009a4252f992182bd9acf85/16.png,69,65,90,64,91
Brock,Bowers,Tight End,Las Vegas Raiders,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10018.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5ZrNmFWgR1vnwTOdqVmwYy/fe13aa7566120fb59130404e168c59ca/23.png,90,91,75,86,95
CeeDee,Lamb,Wide Receiver,Dallas Cowboys,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/418.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4fzYNoreZSo04KbSHo3Sqn/0855e78441c821f956abac278f04abb7/11.png,90,91,70,94,92
Chris,Lindstrom,Right Guard,Atlanta Falcons,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9551.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3NTxf2X9VWdF6aL91pHAVu/6002a1f3e761a58c3b00f0e08bdccf5f/14.png,76,80,92,68,97
Denzel,Ward,Cornerback,Cleveland Browns,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9100.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4qbblHggBjaH9o46kyGeFo/27cab0f308b54edbd469e9b20cb506f7/5.png,93,94,61,94,95
Derwin,James Jr,Strong Safety,Los Angeles Chargers,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8943.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1nyokQ4GLHKjmDL5IorxkB/29267d1765bd7f27730a007e1b070ec4/8.png,90,91,80,88,93
Dexter,Lawrence II,Defensive Tackle,NY Giants,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9548.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5hloGwLNaCrg2IBn0CoWVb/b5996a802009a4252f992182bd9acf85/16.png,76,79,97,70,93
James,Cook III,Halfback,Buffalo Bills,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1304.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/212FXcpkDUjs9ZJpZ038pM/676904f80719bc724267b7eb5609c6af/3.png,92,93,67,94,91
Kyle,Hamilton,Strong Safety,Baltimore Ravens,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1753.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3zZnTQ4izXUrnVi3ryTBcm/a12a28ccd2af4c0a0930b58db73552a7/25.png,88,91,72,87,92
Lamar,Jackson,Quarterback,Baltimore Ravens,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8940.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3zZnTQ4izXUrnVi3ryTBcm/a12a28ccd2af4c0a0930b58db73552a7/25.png,96,95,63,94,87
Roquan,Smith,Mike Backer,Baltimore Ravens,93,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9061.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3zZnTQ4izXUrnVi3ryTBcm/a12a28ccd2af4c0a0930b58db73552a7/25.png,86,89,80,87,91
Antoine,Winfield Jr,Free Safety,Tampa Bay Buccaneers,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/680.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1L5Fn21WqZN9jcLucGYg4c/ce29db9b9b4775d4e8fc337bf5c65027/6.png,90,92,59,88,95
Bobby,Wagner,Mike Backer,Washington Commanders,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/6138.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/42h6FyIuthDAiH4cTWUXRH/bb952a9252013b5bfdf77ac3f4011601/RatingsteamcrestWashingtonCommanders256.png,84,84,78,80,98
Danielle,Hunter,Right Edge,Houston Texans,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/7179.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4rWKgLRDGADEZ3pTbdrpW0/793a695de8ea5caf8f2e1b3973ae1b61/32.png,88,88,82,83,97
Derek,Stingley Jr,Cornerback,Houston Texans,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1956.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4rWKgLRDGADEZ3pTbdrpW0/793a695de8ea5caf8f2e1b3973ae1b61/32.png,93,93,63,94,95
Drake,London,Wide Receiver,Atlanta Falcons,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1813.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3NTxf2X9VWdF6aL91pHAVu/6002a1f3e761a58c3b00f0e08bdccf5f/14.png,88,92,77,88,94
Nnamdi,Madubuike,Defensive Tackle,Baltimore Ravens,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/441.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3zZnTQ4izXUrnVi3ryTBcm/a12a28ccd2af4c0a0930b58db73552a7/25.png,81,83,95,74,90
Patrick,Mahomes,Quarterback,Kansas City Chiefs,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8648.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3g9AewmTPjE4A7yc2tobiZ/20b6502896df3893414233cb5fe1b803/9.png,85,87,70,86,93
Rashawn,Slater,Left Tackle,Los Angeles Chargers,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/768.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1nyokQ4GLHKjmDL5IorxkB/29267d1765bd7f27730a007e1b070ec4/8.png,75,81,93,68,85
Saquon,Barkley,Halfback,Philadelphia Eagles,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8813.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1Nt5pFCpjcBcADzHRbwfIk/ce90f9cb564aef7cc30cf1dd88c84150/13.png,95,94,81,93,88
Tyreek,Hill,Wide Receiver,Miami Dolphins,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8052.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1rcCzp9f3OyZFzRBRFJVpC/8dc08dce09c05a748587769908cd710c/12.png,97,98,64,97,88
Xavier,McKinney,Strong Safety,Green Bay Packers,92,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/452.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4ztQk5XogdkrJe6reVd3h8/16ecf8a0f4caf228c6e54ad0f8e17425/20.png,88,90,67,87,94
Brian,Branch,Strong Safety,Detroit Lions,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1719.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/7cuE4tZcli1uQyZbvXWMrd/a2df9decdab28170691ca6631dd62139/19.png,88,92,60,85,90
Dak,Prescott,Quarterback,Dallas Cowboys,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8179.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4fzYNoreZSo04KbSHo3Sqn/0855e78441c821f956abac278f04abb7/11.png,84,83,75,82,92
DeForest,Buckner,Defensive Tackle,Indianapolis Colts,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/7920.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5yTvAS7xG5Z8qw65gMLzSU/037cfcd90e26ee06666a24d762791f65/10.png,76,77,90,80,94
Demario,Davis,Mike Backer,New Orleans Saints,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/5132.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5beev0Bk7MVWyDSbEqr75u/837fe770a82d43aa3028a13988d8baf3/27.png,88,87,85,78,96
Devon,Witherspoon,Cornerback,Seattle Seahawks,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2485.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/2WrGCB8Atuo0aZ4MbstBrI/bbe9263ce111287adcef479efbc72160/28.png,91,93,60,91,90
DeVonta,Smith,Wide Receiver,Philadelphia Eagles,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1369.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1Nt5pFCpjcBcADzHRbwfIk/ce90f9cb564aef7cc30cf1dd88c84150/13.png,92,94,49,92,95
Jordan,Mailata,Left Tackle,Philadelphia Eagles,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9342.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1Nt5pFCpjcBcADzHRbwfIk/ce90f9cb564aef7cc30cf1dd88c84150/13.png,74,69,97,68,94
Josh,Jacobs,Halfback,Green Bay Packers,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9520.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4ztQk5XogdkrJe6reVd3h8/16ecf8a0f4caf228c6e54ad0f8e17425/20.png,90,90,83,86,89
Kerby,Joseph,Free Safety,Detroit Lions,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1792.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/7cuE4tZcli1uQyZbvXWMrd/a2df9decdab28170691ca6631dd62139/19.png,88,91,64,86,94
Kolton,Miller,Left Tackle,Las Vegas Raiders,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8993.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5ZrNmFWgR1vnwTOdqVmwYy/fe13aa7566120fb59130404e168c59ca/23.png,74,79,88,71,92
Mark,Andrews,Tight End,Baltimore Ravens,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8802.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3zZnTQ4izXUrnVi3ryTBcm/a12a28ccd2af4c0a0930b58db73552a7/25.png,87,90,81,79,93
Mike,Evans,Wide Receiver,Tampa Bay Buccaneers,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/6407.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1L5Fn21WqZN9jcLucGYg4c/ce29db9b9b4775d4e8fc337bf5c65027/6.png,90,89,78,81,90
Nik,Bonitto,Right Edge,Denver Broncos,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1181.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4AYKY9OcX1CYbyMFBnvM8/ac07a8ff525004f92014e3259708acdf/4.png,88,92,82,83,95
Ryan,Kelly,Center,Minnesota Vikings,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8094.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/bzuWJaOZo5LCC4SwdbVzx/f6dc0006f59641745e50721d0d8c9d38/31.png,69,70,85,66,97
Trey,Smith,Right Guard,Kansas City Chiefs,91,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/753.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/3g9AewmTPjE4A7yc2tobiZ/20b6502896df3893414233cb5fe1b803/9.png,71,75,95,69,90
Budda,Baker,Strong Safety,Arizona Cardinals,90,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8472.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5NdzvrqrP3clJDBL6kdTmu/1f61914ff14c6f4be0240d71e622f9c6/7.png,90,91,72,90,91
Christian,Darrisaw,Left Tackle,Minnesota Vikings,90,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/773.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/bzuWJaOZo5LCC4SwdbVzx/f6dc0006f59641745e50721d0d8c9d38/31.png,73,73,92,67,92
Davante,Adams,Wide Receiver,Los Angeles Rams,90,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/6328.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/wS8JnLBEBj9eq68rO1qTb/b7b5285ad842936bc21bb149eb8c31b8/24.png,89,89,63,94,93
Jaylon,Johnson,Cornerback,Chicago Bears,90,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/398.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/6jaEsYrn1V45DziwibpsDk/ed66ad67e63f08a3a7c25ce951dbf5b9/1.png,90,91,67,86,96
Joe,Mixon,Halfback,Houston Texans,90,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9241.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4rWKgLRDGADEZ3pTbdrpW0/793a695de8ea5caf8f2e1b3973ae1b61/32.png,92,91,82,89,87
Quinnen,Williams,Defensive Tackle,Dallas Cowboys,90,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9679.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4fzYNoreZSo04KbSHo3Sqn/0855e78441c821f956abac278f04abb7/11.png,84,83,92,79,88
Sauce,Gardner,Cornerback,Indianapolis Colts,90,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1712.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5yTvAS7xG5Z8qw65gMLzSU/037cfcd90e26ee06666a24d762791f65/10.png,93,94,65,91,86
